Year	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
Dacoity	656	650	593	613	651	492	408	336	262	32
Robbery	1059	1069	964	1021	1155	933	722	657	562	68
Murder	3988	3966	4114	4393	4514	4037	3591	3549	3830	351
Speedy Trial	1666	1863	1907	1896	1716	1549	1052	1045	922	48
Riot	130	109	94	172	79	93	53	23	26	1
Woman & Child Repression	17752	21389	20947	19601	21291	21210	18446	17073	16253	1139
Kidnapping	870	792	850	879	920	805	639	509	444	46
Police Assault	473	581	659	1257	702	634	521	543	811	69
Burglary	3101	3134	2927	2762	2809	2495	2213	2163	2137	174
Theft	8529	8873	8598	7882	7660	6821	6110	5833	5561	494
Other Cases	87139	88355	96112	93930	90400	84117	77747	74645	69736	5428
Arms Act - RC	1575	1269	1511	1517	2023	2079	2291	2208	2515	174
Explosive - RC	253	207	289	1007	520	725	487	362	1310	30
Narcotics - RC	29344	31696	37264	35832	42501	47666	62208	98984	112549	9069
Smuggling - RC	6363	5714	6578	6437	6788	6179	4680	5599	4501	361
Total - RC	37535	38886	45642	44793	51832	56649	69666	107153	120875	9634
Total Cases	162898	169667	183407	179199	183729	179835	181168	213529	221419	17484
