date, Per 100K Population, Annual % Change, 
12/31/2000,2.6187,,
12/31/2001,2.8273,7.97,
12/31/2002,2.6442,-6.48,
12/31/2003,2.5751,-2.61,
12/31/2004,2.8485,10.62,
12/31/2005,2.5835,-9.3,
12/31/2006,2.9563,14.43,
12/31/2007,2.7078,-8.41,
12/31/2008,2.8405,4.9,
12/31/2009,2.8912,1.78,
12/31/2010,2.7023,-6.53,
12/31/2011,2.6569,-1.68,
12/31/2012,2.7244,2.54,
12/31/2013,2.8757,5.55,
12/31/2014,2.9214,1.59,
12/31/2015,2.5823,-11.61,
12/31/2016,2.2731,-11.97,
12/31/2017,2.2225,-2.23,
12/31/2018,2.3733,6.79,
